roll_no,ktsem1,ktsem2,ktsem3,ktsem4,result
0801EC191007,0,0,0,1,Can Go To Next Sem
0801EC201050,0,0,0,5,Can Go To Next Sem
0801EC211006,0,0,0,5,Can Go To Next Sem
0801EC211023,0,0,3,3,SEM BACK
0801EC211026,0,0,0,1,Can Go To Next Sem
0801EC211038,0,0,2,0,Can Go To Next Sem
0801EC211050,0,0,3,4,SEM BACK
0801EC211064,0,0,4,4,SEM BACK
0801EC211091,0,0,0,1,Can Go To Next Sem
0801EC211094,0,0,1,0,Can Go To Next Sem
0801EC211095,0,0,3,1,Can Go To Next Sem
0801EC211096,0,0,3,5,SEM BACK
0801EC221001,0,0,1,2,Can Go To Next Sem
0801EC221006,0,0,0,1,Can Go To Next Sem
0801EC221007,0,0,1,3,Can Go To Next Sem
0801EC221008,0,0,0,4,Can Go To Next Sem
0801EC221011,0,0,6,5,SEM BACK
0801EC221018,0,0,0,6,SEM BACK
0801EC221021,0,0,1,4,Can Go To Next Sem
0801EC221022,0,0,0,2,Can Go To Next Sem
0801EC221027,0,0,1,0,Can Go To Next Sem
0801EC221028,0,0,0,3,Can Go To Next Sem
0801EC221031,0,0,0,3,Can Go To Next Sem
0801EC221034,0,0,3,4,SEM BACK
0801EC221035,0,0,0,2,Can Go To Next Sem
0801EC221041,0,0,0,1,Can Go To Next Sem
0801EC221046,0,0,0,4,Can Go To Next Sem
0801EC221049,0,0,0,3,Can Go To Next Sem
0801EC221055,0,0,0,2,Can Go To Next Sem
0801EC221057,0,0,0,1,Can Go To Next Sem
0801EC221058,0,0,1,0,Can Go To Next Sem
0801EC221059,0,0,1,3,Can Go To Next Sem
0801EC221061,0,0,0,1,Can Go To Next Sem
0801EC221062,0,0,0,5,Can Go To Next Sem
0801EC221068,0,0,0,1,Can Go To Next Sem
0801EC221071,0,0,0,5,Can Go To Next Sem
0801EC221072,0,0,0,1,Can Go To Next Sem
0801EC221077,0,0,2,5,SEM BACK
0801EC221078,0,0,1,4,Can Go To Next Sem
0801EC221083,0,0,0,3,Can Go To Next Sem
0801EC221086,0,0,1,0,Can Go To Next Sem
0801EC221089,0,0,6,1,SEM BACK
0801EC221096,0,0,5,4,SEM BACK
0801EC221100,0,0,4,3,SEM BACK
0801EC221106,0,0,2,1,Can Go To Next Sem
0801EC221108,0,0,4,4,SEM BACK
0801EC221112,0,0,0,3,Can Go To Next Sem
0801EC221115,0,0,0,5,Can Go To Next Sem
0801EC221117,0,0,1,2,Can Go To Next Sem
0801EC221121,0,0,1,0,Can Go To Next Sem
0801EC223D05,0,0,5,4,SEM BACK
0801EC233D01,0,0,1,4,Can Go To Next Sem
0801EC233D02,0,0,0,1,Can Go To Next Sem
0801EC233D07,0,0,0,1,Can Go To Next Sem
0801EE181082,0,0,1,2,Can Go To Next Sem
0801EE201027,0,0,1,2,Can Go To Next Sem
0801EE211008,0,0,0,1,Can Go To Next Sem
0801EE211012,0,0,3,1,Can Go To Next Sem
0801EE211024,0,0,0,1,Can Go To Next Sem
0801EE211026,0,0,0,1,Can Go To Next Sem
0801EE211030,0,0,5,4,SEM BACK
0801EE211033,0,0,4,2,SEM BACK
0801EE211048,0,0,1,0,Can Go To Next Sem
0801EE211051,0,0,1,2,Can Go To Next Sem
0801EE211062,0,0,0,1,Can Go To Next Sem
0801EE211065,0,0,2,0,Can Go To Next Sem
0801EE211077,0,0,0,1,Can Go To Next Sem
0801EE211096,0,0,2,0,Can Go To Next Sem
0801EE221002,0,0,1,2,Can Go To Next Sem
0801EE221005,0,0,1,3,Can Go To Next Sem
0801EE221006,0,0,2,2,Can Go To Next Sem
0801EE221009,0,0,1,2,Can Go To Next Sem
0801EE221010,0,0,1,2,Can Go To Next Sem
0801EE221012,0,0,0,1,Can Go To Next Sem
0801EE221016,0,0,3,1,Can Go To Next Sem
0801EE221018,0,0,0,4,Can Go To Next Sem
0801EE221019,0,0,0,1,Can Go To Next Sem
0801EE221020,0,0,1,3,Can Go To Next Sem
0801EE221021,0,0,0,3,Can Go To Next Sem
0801EE221023,0,0,2,1,Can Go To Next Sem
0801EE221027,0,0,2,1,Can Go To Next Sem
0801EE221028,0,0,3,4,SEM BACK
